,Unnamed: 0,Change,Currency,Date,HKD per unit,Name,Rate,Units per HKD
3,3,,INR,2011-01-01,0.17389260920000002,Indian Rupee,,5.750675687999999
166,3,,INR,2011-01-02,0.17389260920000002,Indian Rupee,,5.750675687999999
329,3,,INR,2011-01-03,0.1742225482,Indian Rupee,,5.739785177999999
492,3,,INR,2011-01-04,0.1724219302,Indian Rupee,,5.79972628
655,3,,INR,2011-01-05,0.1713133515,Indian Rupee,,5.83725665
818,3,,INR,2011-01-06,0.1714455683,Indian Rupee,,5.832755026
981,3,,INR,2011-01-07,0.17202118,Indian Rupee,,5.8132376510000014
1144,3,,INR,2011-01-08,0.1714258927,Indian Rupee,,5.833424487
1307,3,,INR,2011-01-09,0.1714269963,Indian Rupee,,5.833386932000001
1470,3,,INR,2011-01-10,0.1713840646,Indian Rupee,,5.834848194
1633,3,,INR,2011-01-11,0.1723399676,Indian Rupee,,5.802484552999999
1796,3,,INR,2011-01-12,0.172584638,Indian Rupee,,5.7942584660000005
1959,3,,INR,2011-01-13,0.1718211853,Indian Rupee,,5.820004084
2122,3,,INR,2011-01-14,0.17144853129999998,Indian Rupee,,5.832654221
2285,3,,INR,2011-01-15,0.17143110239999998,Indian Rupee,,5.83324721
2448,3,,INR,2011-01-16,0.17143110239999998,Indian Rupee,,5.83324721
2611,3,,INR,2011-01-17,0.17083647440000002,Indian Rupee,,5.85355091
2774,3,,INR,2011-01-18,0.17151676670000002,Indian Rupee,,5.830333787000001
2937,3,,INR,2011-01-19,0.1708909539,Indian Rupee,,5.851684815
3100,3,,INR,2011-01-20,0.1700521215,Indian Rupee,,5.880549983
3263,3,,INR,2011-01-21,0.17082904570000002,Indian Rupee,,5.853805457000001
3426,3,,INR,2011-01-22,0.17074732920000002,Indian Rupee,,5.8566069810000005
3589,3,,INR,2011-01-23,0.17074732920000002,Indian Rupee,,5.8566069810000005
3752,3,,INR,2011-01-24,0.171173646,Indian Rupee,,5.842020797999999
3915,3,,INR,2011-01-25,0.1704706213,Indian Rupee,,5.866113425
4078,3,,INR,2011-01-26,0.17120235399999995,Indian Rupee,,5.84104118
